g,p,rtgs
สี่แยก,sI-2 jYk3,siyaek
สึกกร่อน,svk2 krXn2,suekkron
สึกหรอ,svk2 rX-5,suekro
สึนามิ,sv?2 nA-1 mi?4,suenami
สืบค้น,sVp2 Kon4,suepkhon
สืบตระกูล,sVp2 tra?2 kUn1,sueptrakun
สืบต่อ,sVp2 tX-2,suepto
สืบถาม,sVp2 TAm5,sueptham
สืบทอด,sVp2 TXt3,suepthot
สืบพยาน,sVp2 Pa-1 jAn1,suepphayan
สืบพันธุ์,sVp2 Pan1,suepphan
สืบมา,sVp2 mA-1,suepma
สืบราชสมบัติ,sVp2 rAt3 Ca-4 som5 bat2,suepratchasombat
สืบราชสันตติวงศ์,sVp2 rAt3 Ca-4 san5 ta-2 ti?2 woN1,suepratchasantatiwong
สืบสกุล,sVp2 sa-1 kun1,suepsakun
สืบสวน,sVp2 sRn5,suepsuan
สืบสวนสอบสวน,sVp2 sRn5 sXp2 sRn5,suepsuansopsuan
สืบสันตติวงศ์,sVp2 san5 ta-2 ti?2 woN1,suepsantatiwong
สืบสาน,sVp2 sAn5,suepsan
สืบสาย,sVp2 sAj5,suepsai
สืบสาว,sVp2 sAw5,suepsao
สืบสาวราวเรื่อง,sVp2 sAw5 rAw1 rWN3,suepsaoraorueang
สืบหา,sVp2 hA-5,suepha
สืบเชื้อสาย,sVp2 CW-4 sAj5,suepchueasai
สืบเนื่อง,sVp2 nWN3,suepnueang
สืบเสาะ,sVp2 sx?2,suepso
สืบไป,sVp2 paj1,sueppai
สื่อกลาง,sV-2 klAN1,sueklang
สื่อผสม,sV-2 Pa-2 som5,suephasom
สื่อมวลชน,sV-2 mRn1 Con1,suemuanchon
สื่อสาร,sV-2 sAn5,suesan
สื่อสารมวลชน,sV-2 sAn5 mRn1 Con1,suesanmuanchon
สื่อสิ่งพิมพ์,sV-2 siN2 Pim1,suesingphim
สุกงอม,suk2 NXm1,sukngom
สุกดิบ,suk2 dip2,sukdip
สุกปลั่ง,suk2 plaN2,sukplang
สุกร,su?2 kXn1,sukon
สุกี้,su?2 kI-3,suki
สุกเอาเผากิน,suk2 ?aw1 Paw5 kin1,sukaophaokin
สุกใส,suk2 saj5,suksai
สุขกาย,suk2 kAj1,sukkai
สุขทุกข์,suk2 Tuk4,sukthuk
สุขภาพ,suk2 Ka-2 PAp3,sukkhaphap
สุขภาพกาย,suk2 Ka-2 PAp3 kAj1 ja-4,sukkhaphapkaiya
สุขภาพจิต,suk2 Ka-2 PAp3 cit2,sukkhaphapchit
สุขลักษณะ,suk2 Ka-2 lak4 sa-1 na?2,sukkhalaksana
สุขวิทยา,suk2 Ka-1 wit4 Ta-1 jA-1,sukkhawitthaya
สุขศาลา,suk2 sA-5 lA-1,suksala
สุขสงบ,suk2 sa-1 Nop2,suksangop
สุขสบาย,suk2 sa-1 bAj1,suksabai
สุขสม,suk2 som5,suksom
สุขสันต์,suk2 san5,suksan
สุขอนามัย,suk2 ?a-2 nA-1 maj1,sukanamai
สุขา,su?2 KA-5,sukha
สุขาภิบาล,su?2 KA-5 Pi?4 bAn1,sukhaphiban
สุขี,su?2 KI-5,sukhi
สุขุม,su?2 Kum5,sukhum
สุขุมวิท,su?2 Kum5 wit4,sukhumwit
สุขุมาล,su?2 Ku?2 mAn1,sukhuman
สุขใจ,suk2 caj1,sukchai
สุคติ,suk2 Ka-4 ti?2,sukkhati
สุคนธ์,su?2 Kon1,sukhon
สุงสิง,suN5 siN5,sungsing
สุจริต,sut2 ca-2 rit2,sutcharit
สุจริตใจ,sut2 ca-2 rit2 caj1,sutcharitchai
สุจิต,su?2 cit2,suchit
สุชาดา,su?2 CA-1 dA-1,suchada
สุญญากาศ,sun5 jA-1 kAt2,sunyakat
สุดกำลัง,sut2 kam1 laN1,sutkamlang
สุดกู่,sut2 kU-2,sutku
สุดขั้ว,sut2 KR-3,sutkhua
สุดขีด,sut2 KIt2,sutkhit
สุดคณนา,sut2 Ka-4 na-4 nA-1,sutkhanana
สุดความสามารถ,sut2 KwAm1 sA-5 mAt3,sutkhwamsamat
สุดซึ้ง,sut2 svN4,sutsueng
สุดตัว,sut2 tR-1,suttua
สุดถนน,sut2 Ta-2 non5,sutthanon
สุดที่รัก,sut2 TI-3 rak4,sutthirak
สุดท้อง,sut2 TXN4,sutthong
สุดท้าย,sut2 TAj4,sutthai
สุดท้ายนี้,sut2 TAj4 nI-4,sutthaini
สุดประมาณ,sut2 pra-1 mAn1,sutpraman
สุดฝีมือ,sut2 fI-5 mV-1,sutfimue
สุดยอด,sut2 jXt3,sutyot
สุดฤทธิ์,sut2 rit4,sutrit
สุดลูกหูลูกตา,sut2 lUk3 hU-5 lUk3 tA-1,sutlukhulukta
สุดวิสัย,sut2 wi?4 saj5,sutwisai
สุดสัปดาห์,sut2 sap2 dA-1,sutsapda
สุดสายตา,sut2 sAj5 tA-1,sutsaita
สุดสิ้น,sut2 sin3,sutsin
สุดหนทาง,sut2 hon5 TAN1,suthonthang
สุดหล้าฟ้าเขียว,sut2 lA-3 fA-4 KJw5,sutlafakhiao
สุดา,su?2 dA-1,suda
สุดเหวี่ยง,sut2 wJN2,sutwiang
สุดเอื้อม,sut2 ?Wm3,sutueam
สุดแต่,sut2 tY-2,suttae
สุดแรงเกิด,sut2 rYN1 kZt2,sutraengkoet
สุดโต่ง,sut2 tON2,suttong
สุดใจ,sut2 caj1,sutchai
สุตตันตปิฎก,sut2 tan1 ta-2 pi?2 dok2,suttantapidok
สุทธิ,sut2 Ti?4,sutthi
สุธารส,su?2 TA-1 rot4,sutharot
สุนทร,sun5 TXn1,sunthon
สุนทรพจน์,sun5 TX-1 ra-4 Pot4,sunthoraphot
สุนทราภรณ์,sun5 Ta-4 rA-1 Pon1,suntharaphon
สุนทรี,sun5 Ta-4 rI-1,sunthari
สุนทรียภาพ,sun5 Ta-4 rI-1 ja-4 PAp3,sunthariyaphap
สุนทรียะ,su?2 not4 rI-1 ja?4,sunotriya
สุนทรีย์,su?2 not4 rI-1,sunotri
สุนัข,su?2 nak4,sunak
สุนัขจิ้งจอก,su?2 nak4 ciN3 cXk2,sunakchingchok
สุนัขดมกลิ่น,su?2 nak4 dom1 klin2,sunakdomklin
สุนัขตำรวจ,su?2 nak4 tam1 rRt2,sunaktamruat
สุนัขป่า,su?2 nak4 pA-2,sunakpa
สุนีย์,su?2 nI-1,suni
สุพรรณ,su?2 Pan1,suphan
สุพรรณบุรี,su?2 Pan1 bu?2 rI-1,suphanburi
สุภา,su?2 PA-1,supha
สุภาพ,su?2 PAp3,suphap
สุภาพชน,su?2 PAp3 Con1,suphapchon
สุภาพบุรุษ,su?2 PAp3 bu?2 rut2,suphapburut
สุภาพสตรี,su?2 PAp3 sa-1 trI-1,suphapsatri
สุภาพอ่อนโยน,su?2 PAp3 ?Xn2 jOn1,suphaponyon
สุภาษิต,su?2 PA-1 sit2,suphasit
สุมทุมพุ่มไม้,sum5 Tum1 Pum3 mAj4,sumthumphummai
สุมยุง,sum5 juN1,sumyung
สุมหัว,sum5 hR-5,sumhua
สุมาตรา,su?2 mAt3 rA-1,sumatra
สุมไฟ,sum5 faj1,sumfai
สุร,su?2 ra-4,sura
สุรบถ,su?2 ra-4 bot2,surabot
สุรา,su?2 rA-1,sura
สุราบาน,su?2 rA-1 bAn1,suraban
สุรารักษ์,su?2 rA-1 rak4,surarak
สุราลัย,su?2 rA-1 laj1,suralai
สุราษฎร์,su-1 rAt3,surat
สุราษฎร์ธานี,su?2 rAt3 TA-1 nI-1,suratthani
สุรินทร์,su?2 rin1,surin
สุริย,su?2 ri?4 ja-4,suriya
สุริยคติ,su?2 ri?4 ja-4 Ka-4 ti?2,suriyakhati
สุริยคราส,su?2 ri?4 ja-4 KrAt3,suriyakhrat
สุริยจักรวาล,su?2 ri?4 ja-4 cak2 kra-1 wAn1,suriyachakkrawan
สุริยน,su?2 ri?4 jon1,suriyon
สุริยะ,su?2 ri?4 ja?4,suriya
สุริยัน,su?2 ri?4 jan1,suriyan
สุริยา,su?2 ri?4 jA-1,suriya
สุริยุปราคา,su?2 ri?4 jup4 pa-2 rA-1 KA-1,suriyupparakha
สุรุ่ยสุร่าย,su?2 ruj3 su?2 rAj3,suruisurai
สุรเสียง,su?2 ra-4 sJN5,surasiang
สุรโลก,su?2 ra-4 lOk3,suralok
สุลต่าน,sun5 la?4 tAn2,sunlatan
สุวคนธ์,su?2 wok4 na-4,suwokna
สุวรรณ,su?2 wan1,suwan
สุวรรณภูมิ,su?2 wan1 na-4 PUm1,suwannaphum
สุสาน,su?2 sAn5,susan
สุหนี่,su?2 nI-2,suni
สุเทพ,su?2 TEp3,suthep
สุเมธ,su?2 mEt3,sumet
สุเมรุ,su?2 mEn1,sumen
สุเหร่า,su?2 raw2,surao
สุโขทัย,su?2 KO-5 Taj1,sukhothai
สุ่มตัวอย่าง,sum2 tR-1 jAN2,sumtuayang
สุ่มสี่สุ่มห้า,sum2 sI-2 sum2 hA-3,sumsisumha
สุ้มเสียง,sum3 sJN5,sumsiang
สูงชัน,sUN5 Can1,sungchan
สูงตระหง่าน,sUN5 tra?2 NAn2,sungtrangan
สูงลิ่ว,sUN5 liw3,sunglio
สูงวัย,sUN5 waj1,sungwai
สูงศักดิ์,sUN5 sak2,sungsak
สูงสุด,sUN5 sut2,sungsut
สูงส่ง,sUN5 soN2,sungsong
สูงอายุ,sUN5 ?A-1 ju?4,sungayu
สูงโปร่ง,sUN5 prON2,sungprong
สูงใหญ่,sUN5 jaj2,sungyai
สูจิ,sU-5 ci?2,suchi
สูจิบัตร,sU-5 ci?2 bat2,suchibat
สูญญากาศ,sUn5 jA-1 kAt2,sunyakat
สูญพันธุ์,sUn5 Pan1,sunphan
สูญสิ้น,sUn5 sin3,sunsin
สูญหาย,sUn5 hAj5,sunhai
สูญเปล่า,sUn5 plaw2,sunplao
สูญเสีย,sUn5 sJ-5,sunsia
สูดดม,sUt2 dom1,sutdom
สูตรคูณ,sUt2 KUn1,sutkhun
สูตรสำเร็จ,sUt2 sam5 ret2,sutsamret
สูตรเคมี,sUt2 KE-1 mI-1,sutkhemi
สูติ,sU-5 ti?2,suti
สูติกรรม,sU-5 ti?2 kam1,sutikam
สูตินารีเวช,sU-5 ti?2 nA-1 rI-1 wEt3,sutinariwet
สูติบัตร,sU-5 ti?2 bat2,sutibat
สูทกรรม,sU-5 Ta-4 kam1,suthakam
สูทศาสตร์,sU-5 Ta-4 sAt2,suthasat
สูบฉีด,sUp2 CIt2,supchit
สูบน้ำ,sUp2 nAm4,supnam
สูบบุหรี่,sUp2 bu?2 rI-2,supburi
สูบยา,sUp2 jA-1,supya
สูสี,sU-5 sI-5,susi
สู่ขอ,sU-2 KX-5,sukho
สู่รู้,sU-2 rU-4,suru
สู้คดี,sU-3 Ka-4 dI-1,sukhadi
สู้ความ,sU-3 KwAm1,sukhwam
สู้ทน,sU-3 Ton1,suthon
สู้ยิบตา,sU-3 jip4 tA-1,suyipta
สู้รบ,sU-3 rop4,surop
สู้หน้า,sU-3 nA-3,suna
สเกต,sa-1 kEt2,saket
สเกตช์,sa-1 kEt2,saket
สเกตน้ำแข็ง,sa?2 ket4 nam4 KyN5,saketnamkhaeng
สเก็ต,sa-1 ket2,saket
สเตตัส,sa-1 tE-1 tat2,satetat
สเตนเลส,sa-1 tEn1 lEt3,satenlet
สเตริโอ,sa-1 tE-1 ri?4 ?O-1,saterio
สเตอริโอ,sa-1 tZ-1 ri?4 ?O-1,satoerio
สเตอร์ลิง,sa-1 tZ-1 liN1,satoeling
สเตียรอยด์,sa-1 tJ-1 rXj1,satiaroi
สเตเดี้ยม,sa-1 tE-1 dJm3,satediam
สเต็ก,sa-1 tek2,satek
สเต็ป,sa-1 tep2,satep
สเต็ม,sa-1 tem1,satem
สเต็มเซลล์,sa-1 tem1 sEn1,satemsen
สเต๊ก,sa-1 tek4,satek
สเปค,sa-1 pEk2,sapek
สเปน,sa-1 pEn1,sapen
สเปรย์,sa-1 prE-1,sapre
สเปอร์,sa-2 pZ-1,sapoe
สเปิร์ม,sa-1 pZm1,sapoem
สแกน,sa-1 kYn1,sakaen
สแกนดิเนเวีย,sa-1 kYn1 di?2 nE-1 wJ-1,sakaendinewia
สแกนเนอร์,sa-1 kYn1 nZ-1,sakaennoe
สแควร์,sa-1 KwY-1,sakhwae
สแตนดาร์ด,sa-1 tYn1 dAd2,sataendad
สแตนเลส,sa-1 tYn1 lEt3,sataenlet
สแปม,sa-1 pYm1,sapaem
สแลง,sa-1 lYN1,salaeng
สโตน,sa-1 tOn1,saton
สโตร์,sa-1 tO-1,sato
สโมสร,sa-1 mO-1 sXn5,samoson
สโมสรสันนิบาต,sa-1 mO-1 sXn5 san5 ni?4 bAt2,samosonsannibat
สโลวีเนีย,sa-1 lO-1 wI-1 nJ-1,salowinia
สโลแกน,sa-1 lO-1 kYn1,salokaen
สไกป์,sa-1 kaj1,sakai
สไตรค์,sa-1 traj1,satrai
สไตล์,sa-1 taj1,satai
สไนเปอร์,sa-1 naj1 pZ-1,sanaipoe
สไบ,sa-1 baj1,sabai
สไลด์,sa-1 laj1,salai
ส่งกระแสจิต,soN2 kra-1 sY-5 cit2,songkrasaechit
ส่งกลับ,soN2 klap2,songklap
ส่งกลิ่น,soN2 klin2,songklin
ส่งข่าวสาร,soN2 KAw2 sAn5,songkhaosan
ส่งความสุข,soN2 KwAm1 suk2,songkhwamsuk
ส่งคืน,soN2 KVn1,songkhuen
ส่งจดหมาย,soN2 cot2 mAj5,songchotmai
ส่งตัว,soN2 tR-1,songtua
ส่งต่อ,soN2 tX-2,songto
ส่งท้าย,soN2 TAj4,songthai
ส่งผล,soN2 Pon5,songphon
ส่งผลให้เกิด,soN2 Pon5 haj3 kZt2,songphonhaikoet
ส่งผู้ร้ายข้ามแดน,soN2 PU-3 rAj4 KAm3 dYn1,songphuraikhamdaen
ส่งผ่าน,soN2 PAn2,songphan
ส่งมอบ,soN2 mXp3,songmop
ส่งลำ,soN2 lam1,songlam
ส่งวิทยุ,soN2 wit4 ta?2 ju?4,songwittayu
ส่งสัญญาณ,soN2 san5 jAn1,songsanyan
ส่งสาร,soN2 sAn5,songsan
ส่งสินค้า,soN2 sin5 KA-4,songsinkha
ส่งส่วย,soN2 sRj2,songsuai
ส่งออก,soN2 ?Xk2,songok
ส่งเดช,soN2 dEt2,songdet
ส่งเสริม,soN2 sZm5,songsoem
ส่งเสีย,soN2 sJ-5,songsia
ส่งเสียง,soN2 sJN5,songsiang
ส่วนกลาง,sRn2 klAN1,suanklang
ส่วนควบ,sRn2 KRp3,suankhuap
ส่วนตัว,sRn2 tR-1,suantua
ส่วนต่อ,sRn2 tX-2,suanto
ส่วนที่เหลือ,sRn2 TI-3 lW-5,suanthiluea
ส่วนท้องถิ่น,sRn2 TXN4 Tin2,suanthongthin
ส่วนนอก,sRn2 nXk3,suannok
ส่วนน้อย,sRn2 nXj4,suannoi
ส่วนบุคคล,sRn2 buk2 Kon1,suanbukkhon
ส่วนบุญ,sRn2 bun1,suanbun
ส่วนประกอบ,sRn2 pra-1 kXp2,suanprakop
ส่วนผสม,sRn2 Pa-2 som5,suanphasom
ส่วนภูมิภาค,sRn2 PU-1 mi?4 PAk3,suanphumiphak
ส่วนมาก,sRn2 mAk3,suanmak
ส่วนย่อย,sRn2 jXj3,suanyoi
ส่วนรวม,sRn2 rRm1,suanruam
ส่วนรอง,sRn2 rXN1,suanrong
ส่วนร่วม,sRn2 rRm3,suanruam
ส่วนลด,sRn2 lot4,suanlot
ส่วนล่าง,sRn2 lAN3,suanlang
ส่วนสำคัญ,sRn2 sam5 Kan1,suansamkhan
ส่วนสูง,sRn2 sUN5,suansung
ส่วนหนึ่ง,sRn2 nvN2,suannueng
ส่วนหน้า,sRn2 nA-3,suanna
ส่วนหัว,sRn2 hR-5,suanhua
ส่วนอุปกรณ์,sRn2 ?u-2 pa-2 kXn1,suanupakon
ส่วนเกิน,sRn2 kZn1,suankoen
ส่วนแบ่ง,sRn2 byN2,suanbaeng
ส่วนแบ่งการตลาด,sRn2 byN2 kAn1 ta-2 lAt2,suanbaengkantalat
ส่วนแบ่งตลาด,sRn2 byN2 ta-2 lAt2,suanbaengtalat
ส่วนโค้ง,sRn2 KON4,suankhong
ส่วนใหญ่,sRn2 jaj2,suanyai
ส่วนได้ส่วนเสีย,sRn2 daj3 sRn2 sJ-5,suandaisuansia
ส่องกระจก,sXN2 kra-1 cok2,songkrachok
ส่องกล้อง,sXN2 klXN3,songklong
ส่องสว่าง,sXN2 sa-1 wAN2,songsawang
ส่องแสง,sXN2 sYN5,songsaeng
ส่องไฟ,sXN2 faj1,songfai
ส่อเค้า,sX-2 KAw4,sokhao
ส่อเสียด,sX-2 sJt2,sosiat
ส่อแวว,sX-2 wYw1,sowaeo
ส่ายหน้า,sAj2 nA-3,saina
ส่ายไปส่ายมา,sAj2 paj1 sAj2 mA-1,saipaisaima
ส่าหรี,sA-2 rI-5,sari
ส่าเหล้า,sA-2 law3,salao
ส่าเห็ด,sA-2 het2,sahet
ส่าไข้,sA-2 Kaj3,sakhai
ส่ำเสีย,sam2 sJ-5,samsia
ส้นตีน,son3 tIn1,sontin
ส้นรองเท้า,son3 rXN1 TAw4,sonrongthao
ส้นสูง,son3 sUN5,sonsung
ส้นเท้า,son3 TAw4,sonthao
ส้มตำ,som3 tam1,somtam
ส้มป่อย,som3 pXj2,sompoi
ส้มโอ,som3 ?O-1,somo
ส้วมซึม,sRm3 svm1,suamsuem
หกคะเมน,hok2 Ka?4 mEn1,hokkhamen
หกร้อย,hok2 rXj4,hokroi
หกล้ม,hok2 lom4,hoklom
หกสิบ,hok2 sip2,hoksip
หกเหลี่ยม,hok2 lJm2,hokliam
หงสาวดี,hoN5 sA-5 wa-1 dI-1,hongsawadi
หงส์ร่อนมังกรรำ,hoN5 rXn3 maN1 kXn1 ram1,hongronmangkonram
หงส์หยก,hoN5 jok2,hongyok
หงส์แดง,hoN5 dYN1,hongdaeng
หงอยเหงา,NXj5 Naw5,ngoingao
หงายท้อง,NAj5 TXN4,ngaithong
หงายหลัง,NAj5 laN5,ngailang
หงำเหงอะ,Nam5 Nz?2,ngamngoe
หงิกงอ,Nik2 NX-1,ngikngo
หงุดหงิด,Nut2 Nit2,ngutngit
หญิงนครโสเภณี,jiN5 na-1 KXn1 sO-5 PE-1 nI-1,yingnakhonsopheni
หญิงสาว,jiN5 sAw5,yingsao
หญิงโสด,jiN5 sOt2,yingsot
หญิงโสเภณี,jiN5 sO-5 PE-1 nI-1,yingsopheni
หญ้าปากคอก,jA-3 pAk2 KXk3,yapakkhok
หญ้าฝรั่น,jA-3 fa-2 ran2,yafaran
หญ้าหนวดแมว,jA-3 nRt2 mYw1,yanuatmaeo
หดตัว,hot2 tR-1,hottua
หดหัว,hot2 hR-5,hothua
หดหู่,hot2 hU-2,hothu
หดหู่ใจ,hot2 hU-2 caj1,hothuchai
หทัย,ha-2 Taj1,hathai
หนทาง,hon5 TAN1,honthang
หนวกหู,nRk2 hU-5,nuakhu
หนวดเครา,nRt2 Kraw1,nuatkhrao
หนวดแมว,nRt2 mYw1,nuatmaeo
หนองคาย,nXN5 KAj1,nongkhai
หนองน้ำ,nXN5 nAm4,nongnam
หนองบัวลำภู,nXN5 bR-1 lam1 PU-1,nongbualamphu
หนองใน,nXN5 naj1,nongnai
หนักกบาลหัว,nak2 ka-2 bAn1 hR-5,nakkabanhua
หนักข้อ,nak2 KX-3,nakkho
หนักมือ,nak2 mV-1,nakmue
หนักหนา,nak2 nA-5,nakna
หนักหน่วง,nak2 nRN2,naknuang
หนักอก,nak2 ?ok2,nakok
หนักอกหนักใจ,nak2 ?ok2 nak2 caj1,nakoknakchai
หนักอึ้ง,nak2 ?vN3,nakueng
หนักแน่น,nak2 nYn3,naknaen
หนักใจ,nak2 caj1,nakchai
หนังกลับ,naN5 klap2,nangklap
หนังกำพร้า,naN5 kam1 PrA-4,nangkamphra
หนังตะลุง,naN5 ta?2 luN1,nangtalung
หนังตัวอย่าง,naN5 tR-1 jAN2,nangtuayang
หนังตา,naN5 tA-1,nangta
หนังยาง,naN5 jAN1,nangyang
หนังสติ๊ก,naN5 sa-1 tik4,nangsatik
หนังสือ,naN5 sV-5,nangsue
หนังสือคู่มือ,naN1 sV-5 KU-3 mV-1,nangsuekhumue
หนังสือชี้ชวน,naN5 sV-5 CI-4 CRn1,nangsuechichuan
หนังสือนำเที่ยว,naN5 sV-5 nam1 TJw3,nangsuenamthiao
หนังสือพิมพ์,naN5 sV-5 Pim1,nangsuephim
หนังสือมอบอำนาจ,naN5 sV-5 mXp3 ?am1 nAt3,nangsuemopamnat
หนังสือรับรอง,naN5 sV-5 rap4 rXN1,nangsueraprong
หนังสือสัญญา,naN5 sV-5 san5 jA-1,nangsuesanya
หนังสือสุทธิ,naN5 sV-5 sut2 Ti?4,nangsuesutthi
หนังสืออ้างอิง,naN5 sV-5 ?AN3 ?iN1,nangsueanging
หนังสือเดินทาง,naN5 sV-5 dZn1 TAN1,nangsuedoenthang
หนังสือเรียน,naN5 sV-5 rJn1,nangsuerian
หนังสือเวียน,naN5 sV-5 wJn1,nangsuewian
หนังหน้าไฟ,naN5 nA-3 faj1,nangnafai
หนังหุ้มกระดูก,naN5 hum3 kra-1 dUk2,nanghumkraduk
หนังโป๊,naN5 pO-4,nangpo
หนังใหญ่,naN5 jaj2,nangyai
หนังไก่,naN5 kaj2,nangkai
หนาตา,nA-5 tA-1,nata
หนามยอกอก,nAm5 jXk3 ?ok2,namyokok
หนาวเย็น,nAw5 jen1,naoyen
หนาวเหน็บ,nAw5 nep2,naonep
หนาวใจ,nAw5 caj1,naochai
หนาหู,nA-5 hU-5,nahu
หนาหูหนาตา,nA-5 hU-5 nA-5 tA-1,nahunata
หนาเตอะ,nA-5 tz?2,natoe
หนาแน่น,nA-5 nYn3,nanaen
หนำใจ,nam5 caj1,namchai
หนีงาน,nI-5 NAn1,ningan
หนีภาษี,nI-5 PA-1 sI-5,niphasi
หนีหน้า,nI-5 nA-3,nina
หนีหาย,nI-5 hAj5,nihai
หนี้บุญคุณ,nI-3 bun1 Kun1,nibunkhun
หนี้สิน,nI-3 sin5,nisin
หนี้สูญ,nI-3 sUn5,nisun
หนึ่งต่อหนึ่ง,nvN2 tX-2 nvN2,nuengtonueng
หนึ่งร้อย,nvN2 rXj4,nuengroi
หนึ่งเดียว,nvN2 dJw1,nuengdiao
หนึ่งในสี่,nvN2 naj1 sI-2,nuengnaisi
หนุงหนิง,nuN5 niN5,nungning
หนุนหลัง,nun5 laN5,nunlang
หนุนเนื่อง,nun5 nWN3,nunnueang
หนุมาน,ha-2 nu?4 mAn1,hanuman
หนุ่มทั้งแท่ง,num2 TaN4 TYN3,numthangthaeng
หนุ่มทั้งแท่งมากินแตงเถาตาย,num2 TaN4 TYN3 mA-1 kin1 tYN1 Taw5 tAj1,numthangthaengmakintaengthaotai
หนุ่มสาว,num2 sAw5,numsao
หนุ่มใหญ่,num2 jaj2,numyai
หนูตะเภา,nU-5 ta?2 Paw1,nutaphao
หนูทดลอง,nU-5 Tot4 lXN1,nuthotlong
หน่วงเวลา,nRN2 wE-1 lA-1,nuangwela
หน่วงเหนี่ยว,nRN2 nJw2,nuangniao
หน่วยกิต,nRj2 kit2,nuaikit
หน่วยกู้ภัย,nRj2 kU-3 Paj1,nuaikuphai
หน่วยก้าน,nRj2 kAn3,nuaikan
หน่วยความจำ,nRj2 KwAm1 cam1,nuaikhwamcham
หน่วยงาน,nRj2 NAn1,nuaingan
หน่วยงานรัฐ,nRj2 NAn1 rat4,nuainganrat
หน่วยงานราชการ,nRj2 NAn1 rAt3 Ca-4 kAn1,nuainganratchakan
หน่วยเลือกตั้ง,nRj2 lWk3 taN3,nuailueaktang
หน่อมแน้ม,nXm2 nYm4,nomnaem
หน่อเนื้อเชื้อไข,nX-2 nW-4 CW-4 Kaj5,nonueachueakhai
หน่อไม้,nX-2 mAj4,nomai
หน่อไม้ฝรั่ง,nX-2 mAj4 fa-2 raN2,nomaifarang
หน่ายหนี,nAj2 nI-5,naini
หน่ายแหนง,nAj2 nYN5,nainaeng
หน้ากระดาน,nA-3 kra-1 dAn1,nakradan
หน้ากระดูก,nA-3 kra-1 dUk2,nakraduk
หน้ากร้าน,nA-3 krAn3,nakran
หน้ากาก,nA-3 kAk2,nakak
หน้าการเมือง,nA-3 kAn1 mWN1,nakanmueang
หน้ากาฬ,nA-3 kAn1,nakan
หน้ากีฬา,nA-3 kI-1 lA-1,nakila
หน้าขบ,nA-3 Kop2,nakhop
หน้าขมึงทึง,nA-3 Ka-2 mvN5 TvN1,nakhamuengthueng
หน้าขา,nA-3 KA-5,nakha
หน้าข้าวตัง,nA-3 KAw3 taN1,nakhaotang
หน้าคว่ำ,nA-3 Kwam3,nakhwam
หน้างอ,nA-3 NX-1,nango
หน้างอก,nA-3 NXk3,nangok
หน้างัว,nA-3 NR-1,nangua
หน้าง้ำ,nA-3 Nam4,nangam
หน้าจอ,nA-3 cX-1,nacho
หน้าจั่ว,nA-3 cR-2,nachua
หน้าจืด,nA-3 cVt2,nachuet
หน้าจ๋อย,nA-3 cxj5,nachoi
หน้าฉาก,nA-3 CAk2,nachak
หน้าฉาน,nA-3 CAn5,nachan
หน้าชา,nA-3 CA-1,nacha
หน้าชื่นตาบาน,nA-3 CVn3 tA-1 bAn1,nachuentaban
หน้าซีก,nA-3 sIk3,nasik
หน้าซีด,nA-3 sIt3,nasit
หน้าดำ,nA-3 dam1,nadam
หน้าดำหน้าแดง,nA-3 dam1 nA-3 dYN1,nadamnadaeng
หน้าด้าน,nA-3 dAn3,nadan
หน้าตรง,nA-3 troN1,natrong
หน้าตัก,nA-3 tak2,natak
หน้าตัวเมีย,nA-3 tR-1 mJ-1,natuamia
หน้าตั้ง,nA-3 taN3,natang
หน้าตา,nA-3 tA-1,nata
หน้าตาย,nA-3 tAj1,natai
หน้าตาเฉย,nA-3 tA-1 CZj5,natachoei
หน้าตึง,nA-3 tvN1,natueng
หน้าตื่น,nA-3 tVn2,natuen
หน้าตูม,nA-3 tUm1,natum
หน้าต่าง,nA-3 tAN2,natang
หน้าถมึงทึง,nA-3 Ta-2 mvN5 TvN1,nathamuengthueng
หน้าถัง,nA-3 TaN5,nathang
หน้าทน,nA-3 Ton1,nathon
หน้าทะเล้น,nA-3 Ta-1 len4,nathalen
หน้าทับ,nA-3 Tap4,nathap
หน้าที่,nA-3 TI-3,nathi
หน้าที่นั่ง,nA-3 TI-3 naN3,nathinang
หน้าท้อง,nA-3 TXN4,nathong
หน้านวล,nA-3 nRn1,nanuan
หน้านา,nA-3 nA-1,nana
หน้านิ่วคิ้วขมวด,nA-3 niw3 Kiw4 Ka-2 mRt2,naniokhiokhamuat
หน้าบัน,nA-3 ban1,naban
หน้าบาง,nA-3 bAN1,nabang
หน้าบาน,nA-3 bAn1,naban
หน้าบึ้ง,nA-3 bvN3,nabueng
หน้าบูด,nA-3 bUt2,nabut
หน้าบูดบึ้ง,nA-3 bUt2 bvN3,nabutbueng
หน้าบ้าน,nA-3 bAn3,naban
หน้าปก,nA-3 pok2,napok
หน้าปัด,nA-3 pat2,napat
หน้าผา,nA-3 PA-5,napha
หน้าผาก,nA-3 PAk2,naphak
หน้าผี,nA-3 PI-5,naphi
หน้าฝน,nA-3 fon5,nafon
หน้าพาทย์,nA-3 PAt3,naphat
หน้ามอด,nA-3 mXt3,namot
หน้ามืด,nA-3 mVt3,namuet
หน้ามืดตามัว,nA-3 mVt3 tA-1 mR-1,namuettamua
หน้ามุข,nA-3 muk4,namuk
หน้ามุ่ย,nA-3 muj3,namui
หน้าม่อย,nA-3 mXj3,namoi
หน้าม้า,nA-3 mA-4,nama
